t0,neffs,reliability,out_risk,runtime
170, 513.9088888904879, 111.23901273863466, 0.08266546755377735, 9.707095861434937
171, 13.961704924955937, 222.66755043960356, 0.16012676762290162, 9.700796604156494
172, 6.780161358884221e-07, -682256513.5573319, 969725.2063243613, 9.730487823486328
173, 49.06416870185357, 185.14074842722647, 0.10801465786428521, 9.78212308883667
174, 4.51376133924561, 243.77284268155768, 0.18703044644318262, 9.627098798751831
175, 236.45959424609487, 174.77745730937136, 0.10236201536685709, 9.650338888168335
176, 35.724057411564644, 272.8038885051083, 0.1410131074455755, 9.697712421417236
177, 2.689464883343394, 1344.4160654987443, 0.5402999452671632, 9.900241374969482
178, 0.17147891730675063, -10338.142608036862, 6.025339277852879, 9.646107912063599
179, 0.3923119407037949, 2398.728091619773, 1.8481662015611533, 9.67019271850586
180, 6.772057168691274, 3364.016729705282, 0.34889578792299314, 9.771810531616211
181, 0.002542990825110785, 59793.83487362538, 396.3087973665667, 9.815844058990479
182, 1.7554501465698196e-06, -9178713426.781754, 374277.74260966363, 9.664074659347534
183, 3.547193870406913, -19326.13512253374, 0.23847285688565778, 9.808902263641357
184, 4.642537125519069, 1039.2841631107735, 0.37512850358651356, 9.706912517547607
185, 0.0004529522927604747, -519415.67066630005, 2435.2814118403203, 9.758117198944092
186, 4.2005334395070604e-08, 120330327201.70888, 15629187.737972915, 9.631337404251099
187, 4.365964801720544, 833.6171974787003, 0.31435006873053306, 9.640339136123657
188, 0.3599175583158698, 9150.015361611222, 2.275553582021266, 9.646247148513794
189, 1.55157200779735, 79610.04322883011, 0.864396694359112, 9.779743671417236
190, 0.18038080937450243, -3243.815234267841, 4.602484645928348, 9.705821752548218
191, 22.926186637104376, 579.034546152807, 0.20479403811293417, 9.662056684494019
192, 2.1596214580344597, 3014.7817690741035, 0.48253052475693575, 9.689908027648926
193, 0.00016408360448921656, 192505.43964152472, 6223.3079871560185, 9.7718665599823
194, 0.006311642518151673, 81215.55656084766, 163.04737142625044, 9.61768889427185
195, 8.205572126505142, 509.9923770268737, 0.17294811139634192, 9.798277854919434
196, 4.517131650867167, 508.7501346007782, 0.26169473970256685, 9.93493103981018
197, 98.57286877146497, 161.84841273913102, 0.09462468565842166, 9.75538158416748
198, 8.305981971362257, 788.8542716782003, 0.27126593589079107, 9.660544395446777
199, 1.6423037709684214, 657.9631323721437, 0.4663533188610316, 9.661609888076782
200, 1.0139367190875703, 1862.1732155426735, 1.1732080302879364, 10.83731198310852
