t0,neffs,reliability,out_risk,runtime
0, 715.340517282838, 1.0962823481373165, 0.0024619946739224715, 18.734326601028442
1, 715.9304148293093, 1.0938469870865746, 0.0024494064633455823, 20.97101879119873
2, 716.3370430974127, 1.2057628916780825, 0.0024438819732500714, 16.883129596710205
3, 717.1898380459912, 1.2853430413761247, 0.002563677840238362, 16.76262331008911
4, 717.4103580462183, 1.2823970175531187, 0.0025491625657909226, 16.874566316604614
5, 716.2713711405924, 1.2704017335371431, 0.0025501944637004795, 16.79258131980896
6, 718.4747778890828, 1.2142033521520166, 0.0025434220678674417, 16.95462465286255
7, 715.5135813883419, 1.240194802400266, 0.002541408188248152, 17.505168437957764
8, 713.1249035722016, 1.220851584133108, 0.002561210638784974, 16.63981294631958
9, 713.7988489894984, 1.219645018317817, 0.0025613877578270754, 20.10854434967041
10, 709.5770697709821, 1.1771833433557535, 0.0026168981712798665, 16.624611854553223
11, 709.1393111072645, 1.1637083279070506, 0.0026179332386077883, 16.57590413093567
12, 708.381600983361, 1.139475042887147, 0.0026246818838964875, 16.650423526763916
13, 707.268830558212, 1.1477507068924868, 0.0026403787704277837, 16.5816068649292
14, 705.8035825174479, 1.1586022361517563, 0.002707559074798244, 16.70352864265442
15, 703.249490893879, 1.1465324262802425, 0.002696090367629213, 16.633652925491333
16, 703.9687612546016, 1.1450317253925617, 0.002692211433808592, 16.59810471534729
17, 704.2981446668712, 1.1593815321515388, 0.002690185937345672, 16.53499674797058
18, 705.7630474281805, 1.215054884085755, 0.0027284608556273123, 16.57591724395752
19, 706.1273901032473, 1.215471258766206, 0.002737005490128378, 16.561018466949463
20, 704.7160438463441, 1.2739856912181617, 0.0027066350354764436, 16.785675525665283
21, 704.1458109568894, 1.3025631809140352, 0.0027634775471651325, 16.63119411468506
22, 703.5446533662373, 1.287278743583248, 0.0027397485702870777, 16.63282322883606
23, 703.6430349014252, 1.2980525107739638, 0.0027487188220423147, 16.590983867645264
24, 703.6112649394892, 1.3178029385564436, 0.002753733636478809, 16.687819004058838
25, 704.9484005063825, 1.3458192116153995, 0.002750294045980266, 17.446380376815796
26, 705.1529829049917, 1.3555693562393387, 0.0027336045488766504, 16.78649353981018
27, 704.3232054116551, 1.3540028683934973, 0.002753640481735347, 16.554770946502686
28, 701.8662166596878, 1.3000150584162236, 0.0029450108598729264, 16.63179659843445
29, 700.1662455930701, 1.318284605238762, 0.00295838088289065, 16.513315439224243
30, 700.6798337195453, 1.309232885216126, 0.0029409498450424865, 16.59519076347351
31, 699.5033990385894, 1.2851269536096503, 0.002915793828776545, 16.50113034248352
32, 697.9065455769182, 1.2841262545634418, 0.0029409091730408423, 16.871949195861816
33, 698.4778247970387, 1.285997807896835, 0.0029425596578921123, 16.618172883987427
34, 698.267170814849, 1.2973436900475595, 0.0030002444786368064, 16.599483966827393
35, 697.9839326067315, 1.2939307647817935, 0.0030021715063964795, 16.831734657287598
36, 696.782658245086, 1.2748629543839782, 0.0030009816416499977, 16.831151008605957
37, 695.151275543365, 1.2620171161890785, 0.003058753494659939, 17.411445379257202
38, 693.695735532893, 1.2912879420861056, 0.0029910735734535814, 17.090406894683838
39, 694.2343356872724, 1.287029805633829, 0.0029876439464904883, 17.38438320159912
40, 694.1187027611098, 1.290930134549078, 0.003023668610766855, 16.75358271598816
41, 693.4993672116673, 1.282490227711421, 0.0030087669162463275, 16.662614822387695
42, 694.0901208386995, 1.2832147729581664, 0.003015562942630998, 16.664735078811646
43, 692.6883335094407, 1.327790746125269, 0.003038785681500476, 16.547281742095947
44, 693.8392579159523, 1.3167385670840157, 0.003074394270316404, 16.66200280189514
45, 693.4251591358786, 1.309628597740803, 0.0031036359026307093, 16.636929512023926
46, 691.7549841150778, 1.2908995696876246, 0.003069066698943069, 16.581895112991333
47, 691.7737656680553, 1.2925887485338803, 0.003075920162410249, 16.470618724822998
48, 692.3351546557752, 1.2762558599813998, 0.0030773283069604747, 16.581259727478027
49, 692.2059119090549, 1.2705519698714023, 0.003071829111233518, 16.69508457183838
50, 690.0436586856624, 1.2994033405954373, 0.0030851893087265056, 16.79354190826416
51, 690.2077829595183, 1.3092581428748649, 0.0030980756569919596, 16.620270013809204
52, 690.3706045506924, 1.295789793894097, 0.0030825950420116537, 16.662042140960693
53, 690.4534190929463, 1.2915167891861978, 0.003091714154350015, 16.498647928237915
54, 689.0025742984463, 1.3136114932442526, 0.0030618519556269994, 16.679873943328857
55, 688.5985732028189, 1.309012053603166, 0.003093954530584602, 16.78355836868286
56, 688.2336293825443, 1.3245532945707024, 0.0030633050676824093, 16.52712893486023
57, 687.9556577783833, 1.337849508292504, 0.003064078003661697, 16.516751527786255
58, 689.532098684493, 1.3919177098545406, 0.0030986775528168927, 16.67616105079651
59, 684.9033720502212, 1.350033790132445, 0.0031504690185432333, 16.47071075439453
60, 683.9115807353002, 1.3498284147605926, 0.003136532447709857, 16.549955368041992
61, 683.7117393932124, 1.3598040145808143, 0.0031353612162553614, 16.5197696685791
62, 683.5385186029865, 1.3414029826427183, 0.0031429336136530378, 16.64378809928894
63, 682.787127857992, 1.3888665820902362, 0.0031395620200859063, 16.514207363128662
64, 682.764835252149, 1.4075079945398372, 0.0031472690457058426, 16.724452018737793
65, 683.4681337424104, 1.4120615387501585, 0.0031640781645068247, 16.74401330947876
66, 681.1660393061583, 1.4114349303183746, 0.0032377295230903757, 16.662797927856445
67, 681.134573432664, 1.4456308630835524, 0.0032301411128439986, 16.514848947525024
68, 682.1535055870903, 1.4617185125755139, 0.0032318696486800134, 16.70887279510498
69, 681.9607917460017, 1.4488201907271119, 0.003238723491086438, 16.554440021514893
70, 681.4716631248735, 1.447124647095217, 0.003235910250530981, 16.83129358291626
71, 682.5315689586481, 1.4640536942173346, 0.003231636313708853, 16.566854000091553
72, 682.229866390616, 1.5049270338818685, 0.003269605069921696, 16.62164568901062
73, 681.504382251521, 1.5007435710688257, 0.003266754204279047, 16.50027585029602
74, 681.873798554198, 1.4901088157171671, 0.0032706425414412554, 16.695979118347168
75, 683.2767492508647, 1.48266862957768, 0.003281282484098377, 16.46392583847046
76, 681.6489534369323, 1.4667693486008566, 0.0032867979505562485, 16.616278648376465
